Nº costura;Etiqueta;Tipo;X;Y;Radio detectado;Distancia a tubería;ID elemento origen;Itemcode;Diámetro;Inspeccionado;Observaciones
1;W-001;W;498.570;534.186;1.696;0.000;path12071;;;;
2;W-002;W;498.570;372.549;1.653;0.000;path12067;;;;
3;W-003;W;498.570;350.828;1.654;0.000;path12063;;;;
4;W-004;W;498.570;289.143;1.696;0.000;path12059;;;;
5;W-005;W;498.570;254.865;1.696;0.000;path12047;;;;
6;W-006;W;462.424;292.707;1.696;0.001;path12051;;;;
7;W-007;W;352.291;356.174;1.697;0.002;path12055;;;;
8;W-008;W;498.570;120.209;1.653;0.071;path12043;;;;
9;W-009;W;498.570;106.549;1.696;0.000;path12037;;;;
