archivo;linea;documento;sheet;revision;estado;diametro;cliente;proyecto;notas
19-000-2-02-00001 sheet 2121CD40F09-2_IS01.pdf;"2""-CD-40F09-6G69";4274-LZ-PC-00000603;2121CD40F09-2;01;ISSUED FOR REFERENCE;"2""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121CD40F10-1_IS00.pdf;"2""-CD-40F10-6G69";4274-LZ-PC-00000603;2121CD40F10-1;00;ISSUED FOR REFERENCE;"2""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121ET40F04-26_IS00.pdf;"4""-ET-40F04-1E21";4274-LZ-PC-00000603;2121ET40F04-26;00;ISSUED FOR REFERENCE;"4""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121ET40F04-42_IS00.pdf;"3""-ET-40F04-1E21";4274-LZ-PC-00000603;2121ET40F04-42;00;APPROVED FOR CONSTRUCTION;"3""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121FL40F01-1_IS00.pdf;"3""-FL-40F01-B32S1";4274-LZ-PC-00000603;2121FL40F01-1;00;APPROVED FOR CONSTRUCTION;"3""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121FO40P04-1_IS01.pdf;"2""-FO-40P04-1C17";4274-LZ-PC-00000603;2121FO40P04-1;01;APPROVED FOR CONSTRUCTION;"2""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121HPN40A07-3_IS00.pdf;"4""-HPN-40A07-1E21";4274-LZ-PC-00000603;2121HPN40A07-3;00;ISSUED FOR REFERENCE;"4""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121IA91FAJ-1_IS01.pdf;"4""-IA-91FAJ-6C4";4274-LZ-PC-00000603;;01;ISSUED FOR REFERENCE;"4""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121IA91FAL-1_IS01.pdf;"4""-IA-91FAL-6C4";4274-LZ-PC-00000603;;01;ISSUED FOR REFERENCE;"4""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
19-000-2-02-00001 sheet 2121VG40Z04-2_IS00.pdf;"1""-VG-40Z04-1C17";4274-LZ-PC-00000603;2121VG40Z04-2;00;ISSUED FOR REFERENCE;"1""";REPSOL;DENSITY POLYETHILENE (PEL);NOTES: | REMARKS FOR MECHANICAL SUBCONTRACTOR:
